,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
129,1_2025-12-28_2025-10-03,F9,IAH,LAX,2025-12-28 10:56:00,2025-12-28 12:48:00,163.54,['1755'],2025-12-28,2025-10-03
130,1_2025-12-28_2025-10-04,AS,IAH,LAX,2025-12-28 17:54:00,2025-12-29 08:25:00,211.02,"['1421', '1165']",2025-12-28,2025-10-04
131,1_2025-12-28_2025-10-05,AS,IAH,LAX,2025-12-28 17:54:00,2025-12-29 08:25:00,211.02,"['1421', '1165']",2025-12-28,2025-10-05
132,1_2025-12-29_2025-10-03,F9,IAH,LAX,2025-12-29 10:56:00,2025-12-29 12:48:00,163.54,['1755'],2025-12-29,2025-10-03
133,1_2025-12-29_2025-10-04,UA,IAH,LAX,2025-12-29 05:42:00,2025-12-29 07:30:00,213.01,['2431'],2025-12-29,2025-10-04
134,1_2025-12-29_2025-10-05,UA,IAH,LAX,2025-12-29 20:10:00,2025-12-29 21:55:00,213.01,['2095'],2025-12-29,2025-10-05
135,1_2025-12-30_2025-10-03,F9,IAH,LAX,2025-12-30 10:56:00,2025-12-30 12:48:00,163.54,['1755'],2025-12-30,2025-10-03
136,1_2025-12-30_2025-10-04,AS,IAH,LAX,2025-12-30 17:54:00,2025-12-31 08:25:00,193.82,"['1421', '1165']",2025-12-30,2025-10-04
137,1_2025-12-30_2025-10-05,UA,IAH,LAX,2025-12-30 07:35:00,2025-12-30 09:27:00,176.46,['2600'],2025-12-30,2025-10-05
138,1_2025-12-31_2025-10-03,UA,IAH,LAX,2025-12-31 21:35:00,2025-12-31 22:59:00,107.64,['434'],2025-12-31,2025-10-03
139,1_2025-12-31_2025-10-04,UA,IAH,LAX,2025-12-31 21:35:00,2025-12-31 22:59:00,107.66,['434'],2025-12-31,2025-10-04
140,1_2025-12-31_2025-10-05,UA,IAH,LAX,2025-12-31 21:35:00,2025-12-31 22:59:00,107.66,['434'],2025-12-31,2025-10-05
141,2_2025-11-15_2025-10-03,UA,IAH,LAX,2025-11-15 12:00:00,2025-11-15 13:45:00,107.64,['2460'],2025-11-15,2025-10-03
142,2_2025-11-15_2025-10-04,UA,IAH,LAX,2025-11-15 12:00:00,2025-11-15 13:45:00,77.56,['2460'],2025-11-15,2025-10-04
143,2_2025-11-15_2025-10-05,UA,IAH,LAX,2025-11-15 12:00:00,2025-11-15 13:45:00,77.56,['2460'],2025-11-15,2025-10-05
144,2_2025-11-16_2025-10-03,UA,IAH,LAX,2025-11-16 05:42:00,2025-11-16 07:30:00,107.64,['2431'],2025-11-16,2025-10-03
